Data Responden,Bisakah anda membedakan ms office dengan libre office?,Mampukah anda membuat laporan (dokumen/presentasi) menggunakan libre office?,Menurut anda Microsoft powerpoint bisa memasukkan gambar/video?,Apakah bisa menggunakan simbol matematika di microsoft excel?,Apakah microsoft office sangat menunjang pendidikan di kampus?,Apakah anda sering menggunakan microsoft office?,Seberapa familiar anda menggunakan ms office?,Bisakah anda membedakan antara file docx dan odt?
Responden 183,5,4,5,5,5,4,5,5
Responden 184,3,3,5,5,5,4,5,3
Responden 185,3,1,5,5,5,5,4,4
Responden 186,3,3,5,2,4,4,3,3
Responden 187,3,4,2,5,5,5,3,4
Responden 188,5,5,4,5,5,5,5,5
Responden 189,5,5,4,5,5,5,5,5
Responden 190,5,5,5,5,5,5,5,5
Responden 191,4,3,5,5,5,5,5,5
Responden 192,4,4,5,5,5,5,5,3
Responden 193,5,5,5,5,5,5,5,5
Responden 194,1,1,5,3,5,4,1,1
Responden 195,2,2,2,2,2,2,2,5
Responden 196,2,2,5,5,5,5,5,2
Responden 197,3,3,4,2,5,4,3,3
Responden 198,4,3,5,4,5,4,4,4
Responden 199,4,4,4,4,5,5,5,4
Responden 200,4,4,5,4,5,5,4,4
Responden 201,4,3,4,5,5,5,3,4
Responden 202,2,5,3,4,5,4,5,5
Responden 203,3,4,5,4,5,5,5,4
Responden 204,3,3,5,5,5,5,5,4
Responden 205,3,3,4,5,5,5,5,3
Responden 206,3,3,5,5,5,5,5,5
Responden 207,5,5,4,4,5,5,5,5
Responden 208,4,4,5,4,4,4,4,4
Responden 209,4,4,4,4,5,5,5,4
Responden 210,3,1,3,3,5,3,2,2
Responden 211,4,3,5,4,5,5,4,4
Responden 212,4,4,4,4,4,4,4,4
Responden 213,3,4,5,3,5,5,4,3
Responden 214,5,4,4,4,4,5,4,4
Responden 215,3,3,4,3,4,4,4,4
Responden 216,4,2,5,5,5,4,5,4
Responden 217,4,5,5,5,5,5,4,4
Responden 218,2,3,4,4,5,4,4,2
Responden 219,5,5,5,5,5,5,5,5
Responden 220,4,4,5,5,5,5,5,4
Responden 221,5,5,3,5,5,5,4,3
Responden 222,4,4,4,4,4,2,4,4
Responden 223,4,3,5,5,5,5,4,3
Responden 224,5,5,5,5,5,5,5,5
Responden 225,5,5,5,5,5,5,5,5
Responden 226,3,2,5,1,5,5,5,3
Responden 227,4,3,5,5,5,5,5,3
Responden 228,4,5,5,5,5,5,5,4
Responden 229,4,4,5,5,5,5,5,4
Responden 230,3,2,5,3,5,5,4,3
Responden 231,5,5,5,5,4,4,5,3
Responden 232,4,3,5,3,3,3,3,5
Responden 233,4,4,5,4,5,5,5,3
Responden 234,5,5,5,5,5,5,5,4
Responden 235,5,4,5,5,5,5,5,5
Responden 236,4,5,3,4,5,4,5,5
Responden 237,5,2,4,5,3,4,3,3
Responden 238,5,3,5,5,5,5,5,5
Responden 239,4,4,5,5,4,4,5,4
Responden 240,4,4,4,4,5,5,5,5
Responden 241,3,3,4,4,2,3,5,1
Responden 242,3,3,4,4,2,3,5,1
Responden 243,3,3,4,4,5,5,4,3
Responden 244,4,4,5,5,5,4,4,4
Responden 245,4,4,5,4,5,5,5,5
Responden 246,2,1,5,5,5,5,5,5
Responden 247,2,2,5,5,5,5,5,2
Responden 248,4,3,5,5,5,5,4,4
Responden 249,5,2,5,5,5,5,5,5
Responden 250,2,1,4,4,4,5,4,2
Responden 251,5,1,5,5,5,5,4,5
Responden 252,4,3,5,4,5,5,5,3
Responden 253,4,3,5,4,5,5,4,3
Responden 254,4,3,4,4,4,5,5,4
Responden 255,4,4,4,4,4,4,4,4
Responden 256,3,3,5,5,5,5,5,3
Responden 257,3,3,5,4,5,5,5,2
Responden 258,3,3,5,4,5,5,5,2
Responden 259,3,3,5,5,5,5,5,2
Responden 260,5,5,5,4,5,5,5,5
Responden 261,5,5,5,5,5,5,5,5
Responden 262,3,3,5,5,5,3,3,3
Responden 263,3,3,5,3,5,4,4,4
Responden 264,5,2,4,5,5,4,4,4
Responden 265,3,3,3,3,4,3,3,2
Responden 266,4,5,2,5,5,5,2,3
Responden 267,3,4,5,4,5,5,5,3
Responden 268,5,5,5,5,5,5,5,5
Responden 269,2,2,5,5,5,5,5,2
Responden 270,5,5,5,5,5,5,5,5
Responden 271,2,1,5,5,5,5,5,2
Responden 272,4,3,5,4,5,5,5,4
Responden 273,3,3,4,4,4,4,4,3
Responden 274,4,3,5,5,5,5,5,4
Responden 275,4,4,5,5,4,3,3,4
Responden 276,5,3,5,4,4,4,5,5
Responden 277,4,3,5,5,5,5,5,5
Responden 278,3,4,5,5,4,4,5,4
Responden 279,3,2,4,5,5,5,5,3
Responden 280,5,2,5,5,5,5,4,2
Responden 281,4,4,4,4,4,4,4,4
Responden 282,4,3,5,5,5,5,4,4
Responden 283,4,3,5,5,5,5,5,3
Responden 284,4,4,5,5,5,5,5,3
Responden 285,4,4,5,3,5,5,4,4
Responden 286,4,4,4,4,5,5,4,4
Responden 287,3,3,5,4,5,4,4,4
Responden 288,4,4,5,4,4,5,5,4
Responden 289,3,4,5,5,5,4,4,3
Responden 290,3,3,4,4,5,5,5,3
Responden 291,4,4,5,4,5,4,4,4
Responden 292,3,4,4,3,5,5,5,3
Responden 293,4,4,5,5,5,5,5,4
Responden 294,5,4,5,5,5,5,5,5
Responden 295,4,4,4,4,4,4,4,4
Responden 296,5,3,5,5,5,5,5,5
Responden 297,2,2,5,5,5,5,4,2
Responden 298,4,3,5,3,5,5,4,4
Responden 299,1,1,5,5,5,5,5,1
Responden 300,2,3,4,2,4,4,4,2
Responden 301,3,3,4,5,4,4,4,4
Responden 302,1,1,2,1,1,2,1,4
Responden 303,5,4,5,5,5,5,5,5
Responden 304,3,4,5,5,5,5,5,3
Responden 305,3,3,5,5,5,5,4,3
Responden 306,4,4,5,5,5,5,5,5
Responden 307,5,5,5,5,5,4,4,3
Responden 308,4,3,5,5,5,4,5,4
Responden 309,4,4,4,4,5,4,4,4
Responden 310,4,3,5,4,5,5,4,4
Responden 311,4,4,4,2,4,4,4,4
Responden 312,4,4,5,5,5,4,5,4
Responden 313,3,4,5,5,5,5,4,3
Responden 314,3,4,5,5,5,5,5,4
Responden 315,4,3,5,5,4,4,5,4
Responden 316,3,3,4,5,5,5,3,3
Responden 317,3,3,5,5,5,4,5,3
Responden 318,3,3,5,1,5,5,5,3
Responden 319,3,3,5,1,5,5,5,3
Responden 320,5,5,5,5,5,5,5,5
Responden 321,5,3,5,5,5,5,5,5
Responden 322,3,3,4,4,5,3,4,4
Responden 323,4,4,5,4,5,3,4,4
Responden 324,5,5,5,5,5,5,5,5
Responden 325,5,4,5,5,5,5,4,5
Responden 326,3,2,5,5,5,5,5,3
Responden 327,4,3,4,5,4,4,5,4
Responden 328,5,4,5,5,5,5,5,4
Responden 329,4,3,2,1,3,5,2,1
Responden 330,4,3,2,1,3,5,2,1
Responden 331,1,1,3,5,3,1,1,5
Responden 332,5,3,5,3,5,4,4,5
Responden 333,5,5,5,5,4,3,2,4
Responden 334,4,4,5,5,5,5,5,5
Responden 335,3,3,5,3,5,5,5,5
Responden 336,3,2,5,4,5,5,5,3
Responden 337,5,5,5,5,5,5,5,5
Responden 338,4,4,5,5,4,5,4,5
